first	second	opt	dist	bytes
11110010100011110011000101001010100	11110100011000110100111101000110000	16	16	658940896
11101001110100100110001110011000100	11100110010011110100101000110010100	15	15	535715272
11010010111110000100111100100100100	11100111000110110100001111000011000	20	21	1047137120
10111011010001011001001101110010000	11101101000110010011111000110000100	16	16	496062120
11101110010001101110000011010010100	11110110010100111001001010011001000	13	13	189601248
10101110100110011000111001001100100	11100110011111110000010001100011000	17	18	839259464
11110001010011101010001110011000100	11101000111000111001100010110010100	13	13	219261528
11001111000111010001110001110001000	11011011000011101011100010010011000	18	18	970741896
11101100110001110100011111000010000	11111100001100110011010001101001000	17	18	826437200
11010111000011111000101010011001000	11011111000100011001101001001010100	17	17	898405040
11111000110110001001101001100010100	11101110101000100110001110001100100	20	21	1032134848
11001101001110010011001100110100100	11101001100111010110001001001011000	17	17	863259800
11111001110000001101100011100011000	11111100011001001001101100001011000	14	14	301446952
11001111101110000110101000010101000	11111001001101000100111000110100100	18	18	881832048
11110001101010011000111100100100100	11001101101100001101001111000011000	16	16	634224016
11011010011111000010110010010100100	10101010111100010111000110001011000	13	13	193808968
10111100101001101100011000101101000	11101001110100101100011001100010100	12	13	92860520
11110100110101001100011010100100100	11111100011001100011001011000010100	11	11	84370424
11111011000001101010101010011000100	11110110010001111001000011100011000	14	14	351252616
11100110010011110101100011110000000	10111111010010100011000110010011000	13	13	199030336
11100101001111010001111000011100000	11011001010110010011110001010011000	13	13	209059624
11111100000111000101001100101100100	11100100111100100100111100010010100	14	14	316155728
11110101110010001001001110011001000	11101001001110110010101100010010100	21	21	1035203512
11111000100101001110011010001011000	11111101000011001001010010111100000	16	16	647720224
11110110011001000111000101001100100	11110100110010011110001001001100100	7	7	1840936
11011001001111010011001010001100100	11110010110001010011010011001100100	16	16	675700832
11100110010011011011001000110100100	11111010001100110101001001110010000	13	13	201137648
11111001001101001110100010100100100	11110100011100110100011101000101000	15	15	586341248
11111101100010010010100100101010100	11110100100101010011011000110010100	12	12	142933328
11111100010100100111001001100100100	11111011001000011001100110001011000	17	17	900243880
11110001101100110001100010110010100	11110010011001111100100010010100100	15	15	486678680
10111101001000110011110001100010100	11010011001110001110110010010110000	19	19	994303232
11011001110011000011100101001100100	11101111000001010101001110101100000	17	17	825087160
11111000110011000100110011101100000	11100111010011001001100011001010100	15	15	408214016
11110100110010110100011100101001000	11110100110100100111000110001010100	17	17	806461784
10111110001001001111100100010100100	11001110110011001000110011001011000	20	20	1050291976
11110000111110011000101010110000100	11011100110011010000111000110100100	18	18	912868608
11100011110101001001101010001011000	11111100100110011001001100010110000	18	18	890810560
11010100111001110100110001100010100	11101001101101001011100100010010100	16	16	690826760
11110110001100101001010100110110000	11100101001101110110000110100100100	19	19	981403592
11111000110000110011100110100011000	11010011100011010100101011111000000	12	12	82589536
11001110110111010010100110001000100	11110100100111010011000101010010100	16	16	561783824
