first	second	opt	dist	visited
1111001100110001011001010011001100100	1111101100001100010111100001010011000	17	17	25	2456311584
1110110101001110011000110100100100100	1110110001001011011101000011011100000	23	24	27	3872798872
1111110000101001011100011100011001000	1111011001010010100111000110001110000	19	19	27	3455192488
1011111001000111100100101001110100000	1110010101001110100110001111010000100	19	19	22	3282912272
1101100100110101001100110111000011000	1111100110010110001001011000101110000	21	22	27	3742930072
1111001100100101001011110010010011000	1111010110101010001101001010100110000	21	22	27	3670516072
1111011011010001001010001011010010100	1110010011011100110001100110010110000	25	26	28	3855555600
1011110010100110010011011100010101000	1101101010010101010100101100110010100	17	17	23	2451904696
1111001101001001100011001110100010100	1101110001110010010110010011010101000	23	23	25	3849849840
1101001100110011011101110000110010000	1111001101010010100101110100010010100	23	23	26	3799572248
1110011100110100010101110110000100100	1110110011010010011110000110010011000	19	19	23	3056609728
1110100111001001100110100101011000100	1110010011100100111000111010001101000	23	23	26	3886456808
1111100100110010100111011110010000000	1011110011001111000010010010111000100	24	24	25	3870962488
1101001111111000100011001000110011000	1110011001011110000110100110001100100	19	19	25	3457079496
1111000011100011110001011100001011000	1011101110011101100000010111000100100	20	21	26	3399630576
1111010011110000110100001101001100100	1110101001101001110011000100111100000	18	18	26	2682638960
1101011100001101101001010110010100100	1111110100110010010001011010100101000	19	20	26	3425509024
1110010101100101110000110011001110000	1110101010011101100110010011010100000	23	23	26	3873299224
1011100110001111001100010100111010000	1111100100111010010010100011010010100	24	24	27	3864771408
1111100010011111100001001001100110000	1101110010100110010010110101010011000	21	21	26	3865003080
1011100110001110011010011001001101000	1110011110010001101100100100111000100	22	22	27	3842184184
1111011001001101100011001001001110000	1111001001101000110011100111000011000	23	24	28	3861112432
1111011001000111100010010011010011000	1100111110001110010110001010001100100	20	20	27	3429485616
1111010110011001001110001100100110000	1101011101001010110000111010010011000	19	19	25	3552399272
1111110010011001010010110001110010000	1110100110001110010100110010111001000	19	19	26	3278987680
1110100110011101010100010100101011000	1111001100101001010110011001101100000	22	22	26	3832412080
1110100010110101001011110110001000100	1111001010010011110110100001011010000	21	21	27	3637181320
1100111010001111011100110001001001000	1110101001111010010110000110101010000	21	21	27	3683647992
1111101100101010001101000100110010100	1110010100111011100001110001100110000	25	26	27	3858422968
1101100011110000111001001110100010100	1100111000101110110001011000111001000	20	21	27	3674478528
1011111010011000101001101001101000100	1111001010011001100100110100111010000	20	20	27	3701748040
1111000100111011010100100100111001000	1110111100000101100100101110100100100	19	19	27	3155594472
1011111000110001110000111110000011000	1110001110010100111100100100111000100	20	20	27	3828701672
1110011110011000101100101001100011000	1111010011001100001110100110001100100	22	23	27	3880519368
1110101010010011101010101001110001000	1110011001001101011100010100111100000	17	17	25	2444763416
1111100101000100110111000011101000100	1011111100101000101001101100011010000	22	22	28	3791371656
1110001111010100010011100101001110000	1101111000011101110001000110110100000	23	23	28	3860708936
1101001110011001110001011100100011000	1110101001001110010100111010010110000	20	20	25	3755004120
1111010001110001001110001101010011000	1011101011000111000011100011110010000	19	19	27	3161122240
1110101001010011100011001100111001000	1111001011010110100001101001001110000	19	19	26	3289905728
