first second opt dist central
11110010010101100011010011011100000 11101001111001001010100111100010000 19 19 24
11001110010101001111001010001100100 11110100111010001100100101101001000 22 22 24
11110100100110101000101101100010100 11111001111100100001111001000010000 22 22 26
11111011010000100110011010010010100 11011001011000110101001101001110000 19 19 26
11100111010001101100100110010011000 11010100111010011010011001001100100 20 20 25
11110011011000111000100010110010100 11110101000111100011001110000110000 23 24 26
11011101000011001101001101100010100 11100110100100111101000110001110000 17 17 25
11101010110001101001011000110100100 11010100111101111000001010110001000 21 21 25
11100101100100111101010100001011000 11101001101100101001001111100100000 19 19 23
11110101000111101100000101001110000 11110100110011000101010011101000100 17 17 24
11101100110011100001110001001011000 11110011011010001100001011101010000 19 19 24
11010111000111010010011100010011000 11111010010010001110100100110100100 18 18 24
11100101010100110110100110001100100 11101110100110011011000000110011000 20 20 23
11110101001100010010111001010100100 11110100110001100111011000001101000 20 20 26
11101001111010010100100101001101000 11100101110011000100111010010010100 18 18 23
11111101000011001110000101001011000 11011110100110010011001000111000100 20 20 27
11100100110111100001001101100101000 11010110100011111100001100001010100 20 20 23
11111100100101001100011100011001000 11101110001110010001100101001110000 17 17 25
11111010001100011000111110010001000 11110010100111001011100010101000100 18 18 24
11111001001010011000110111000010100 11101001010011011011001100100110000 18 18 25
11111010100101001001101001101010000 11110100110100111000010100110011000 19 19 26
11100011110110010001110010010011000 11010111110100001101000101001100100 22 23 25
11010100111000111001100100110100100 11110010100101001111000101001101000 18 18 25
11111001100010011100110000111010000 11101011010100110001011001100011000 19 19 24
11110110000110101001001011001101000 11101101100000111110100101001000100 20 21 25
11010011100011101001010011001101000 11110011100010100110001110011010000 20 21 26
11110100111101001000001011001100100 11111010101001100100110000111001000 18 18 25
11110000111100011000111001110001000 11101010100100110110100010101100100 18 18 25
11011010001100111011010100001101000 11110001111100010001001110010100100 22 23 26
11111000111010100011001001110000100 11011001001110100110100110010011000 18 18 25
10111100011001001101001111100001000 11110010001110101001011001100110000 19 19 25
11101100011010011101100010001110000 11101101011000111000101110001000100 21 22 26
11111100100110100101001010110000100 11110100110100101001100011011001000 19 21 26
10111111010000110001001011111000000 11001101001111100001011100010010100 18 18 24
11101001010111000111010000111010000 11001111001000111101001010110001000 21 22 24
11111101100001000011011111100000000 11100011100011101100001101101010000 19 19 24
11101000111001011000111000110010100 11110111010001001011010010001101000 19 19 25
11110101100010110010010011010011000 10111001111100100001001111000110000 21 21 25
11111100111000010011110010000101000 10110011111011000010100111100010000 19 19 24
11101100110010101000110011001011000 11110001111010011001101000101000100 19 19 24
11100110011011000100110110001110000 11101001110011010100010011010010100 17 17 23
11110100110100010010110110001101000 11110011001101000111101000101000100 21 22 25
11111011010000100111001100001100100 11101001011011001001001011100011000 22 22 27
11101000111000111111001001000011000 11101101000101100011011001001110000 18 19 25
11101010001111001100110000111000100 11010010110011101010011101000011000 19 20 26
11100111001001100100111000110100100 11111010011001001001001101010011000 20 20 25
11110111000100100110001100111000100 11001111100101001100100101100011000 18 18 24
11111010001001101001010011010110000 11100101001101001101100101100010100 19 19 24
11110110010001011010011001010011000 11110010110100111100000111000100100 18 18 24
11101010011111000110000100111001000 11101001001111000011110010100100100 20 20 24
11011100100011101010001110001110000 11100101101010100110101001110100000 22 22 25
11110011100110100100010011111000000 11011001010010110110010100110100100 21 21 25
10110111100101001101001001001101000 11111000100011100101001100111000100 23 23 27
11100100111011000110010011100011000 10111110010100110100011010010100100 21 21 26
11101011000010111100110001100100100 11101001110100011010001110001011000 19 19 25
11110101111110000010011000110001000 11011100110100100111100101001000100 20 20 25
11001111010010010110001101100011000 11011110100001100011101000111000100 21 21 26
10111110010011101001000101100011000 11100011110110001100110001011100000 21 21 25
11011010010011010011011000110100100 11101000110100111110100010001011000 16 16 24
11010101101010011100010011001011000 11111000100011100011001111100000100 19 19 24
11010011100110010011001100110101000 11110011000101001101011001001100100 18 18 25
11101001011001110000111001001101000 10110100111010011110000110101000100 20 20 24
11111001100010010011101001110100000 11110100010011100101001111010010000 17 17 25
11101011011000101001001101001100100 11100101010100111101001001110100000 18 18 22
11100101001101001011010100110100100 11110110001001101100100011100011000 21 22 27
11110011010010011100010100110110000 11101111010101000010010011001010100 16 16 25
11110110100001101100100011110000100 11110001111001100000110111000101000 23 23 26
11001100111010110001001101101000100 11010110110010011101001100001011000 23 23 26
11101001101000110100111100001011000 11110011010010100011001100110100100 18 18 26
11011101001010001111001110001000100 11111000110001011001001011100101000 23 24 26
11011010011011000101100101001011000 11111100010100010011110100101100000 21 21 24
11110010011101001010001101110010000 11010011100110110001101000110010100 23 24 27
11111010011001010101001110000100100 11001100111100001110110001110001000 22 22 23
11011100111010000101001101010011000 11110101000101011000111010010100100 21 22 25
11111000111000001110100101011000100 11101100010110100101101000101101000 20 20 24
11111100101001001001101010010110000 11010010111100111100101000100010100 23 24 27
11011111000100001110100011010011000 11110001100101100100111010001100100 20 20 24
11110011101001100100010110100101000 11011100101001010110001011010100100 21 21 24
11111101000000111000110011001101000 11011011000111010001110101000010100 21 21 26
11110100110010011110011100000100100 11100111100001111100100101000011000 19 19 25
11110001001110101100101100100011000 11101010011000111110100000111000100 18 18 23
11011010010011110010101100001011000 11100010111110100011001010100100100 17 17 24
11110101000100101110010111000110000 11001111010100110010101000110011000 21 22 26
11110010100011011001010100111010000 11101111000010100011100101100011000 18 19 24
10101110100110010111001101010100000 11010110011110011100001000101110000 22 24 26
10111111000100010110100100111100000 11001110100100111010011001001101000 18 18 24
11101101100110001010010101010010100 11011100100011100101001111000110000 20 21 24
11011110000110010010111101000110000 11100111000011111000111001010001000 18 18 23
11001111001001111100101000110000100 11101001111001001010001100111001000 22 22 25
11100011111100001100011100010100100 11110110100101110000111100000011000 20 21 23
11111010001111100000100110010010100 11111001110000100110010011010110000 19 19 25
11111101000001011010100111001001000 11100110011100011100010010111010000 18 18 26
10101111010010100111000111001001000 11110100110100010011101001100110000 22 23 25
11101101001100100100111110000110000 11111010010010010011001011010011000 19 19 25
11111001100000111011001010010110000 11110100110011010100011010100010100 21 21 25
11100111110000100110011100010100100 11101001110010011001100011100011000 20 20 24
11100010101101100010111100010011000 11011101001100010101001111010000100 21 22 23
11001111100001101001100011110000100 11101001110000111010011010001101000 20 21 25
11110110000110001011100010111000100 11110010101100011110000111000011000 19 19 23
11101001110010101100001011001010100 11110010110100001101101001011100000 21 21 25
11111100100100101001001110010100100 11101001110011010011000101100101000 19 20 23
11110011001000111001011001001100100 11110110000101100101001110010011000 18 18 24
11011101000110011101000011001011000 11110001101100001101111100001000100 23 23 25
11110100100101100110010100111010000 11010100101111100001001101001010100 17 17 23
11001110011001111100001001100110000 11011000111011100110010010010010100 20 22 24
11110100011010101001100011010100100 11101110110000100111100101010001000 23 24 25
10111100010011111000111010010000100 11100111110100000110001100111100000 22 23 24
11001111000110010011001010110011000 11111010000011110010010111000110000 20 20 27
11110011010001011101010010011010000 11110101001100011000110110101001000 16 16 25
11101011000101001101100011010011000 11001110110010011110001011000100100 22 22 25
11111011000010110100100110100011000 11110011010011010001101000111000100 18 18 24
11010011101100100101100101010010100 11110011110000111010100010001101000 21 21 24
11011100010011100100101111001000100 11111001000100110011100101001011000 17 17 26
11100111100001001110101001010010100 11110110000100111100011010001101000 20 20 26
11101110010110010000111111000001000 11111001111000001011100001110000100 19 21 24
10111001011011001000110011010101000 11101010001110100111010001001100100 20 20 26
10110110101010011100011001011000100 11100011011100100110001101001110000 20 20 24
11011010011101111000001100010100100 10111100110100011110000011100011000 19 19 25
11100111000111011110000001110100000 11110100110100010011010110100100100 22 22 26
11011001101101100110000100111000100 11100110011100001111001100100110000 21 21 25
11111010100100101010100110100100100 11100101110011000011101100001011000 22 23 25
10111001101100111000100111000110000 11100111101000011001010011101000100 22 22 24
11100111110011001100001111001000000 11010011110101001001100110011001000 18 20 25
11101111011001001001010001010101000 11110001001110010100111001001010100 22 22 26
11101101010011010100101001011000100 11111001001010011010011101000101000 20 21 26
