first	second	opt	dist	central	visited
111011000110001110001101100011000	111001101100010011110101000110000	20	20	23	285790528
111111000000110111000110010011000	110111010001011001001101100110000	16	16	20	227396672
110011101010010110100011100100100	111010011001010100101100111100000	17	17	24	270656808
111010100110011001100011101100000	110011011001100100111100010110000	18	18	22	280686304
111110010010101011000011001011000	111011110010001100011100101000100	18	19	23	268244464
111100111100001001010011011001000	110111000100111101001101000010100	18	18	21	273868064
111001100101100110001110010100100	111110100110000101100011100101000	18	18	21	287568520
111110100001001111110001100001000	101111011001100110001001101010000	21	22	22	288790152
101111010101010011000111010000100	110101001101011001001100111001000	16	16	19	237967504
111101111000110010010010100011000	111001010011001111110001000100100	20	21	23	283964472
101110011010010011101001010011000	111001001011100101001101001110000	19	20	23	287524000
111100100111100010110101000011000	111011001001101110001000101110000	20	20	24	287742416
111100101101100010001110001101000	111011101010000110110100011100000	20	21	23	283643848
111001001111010011000011100100100	111010011100001011111100001001000	18	18	23	280191600
111101010100011100100101100100100	110110011010100100111100001101000	18	18	22	281433576
110111010010011010011110001000100	111111000111000010110011000110000	19	20	24	286174576
111111001101000010010011010101000	111101000110010011110001001100100	16	16	23	211085936
111110001010100011011101000010100	110101100100111110010000111001000	17	17	21	230786144
111001100011100111011000011000100	110110110110001000101110001101000	22	22	24	286239624
111110010001100011101010010100100	111010011000111100110011010001000	17	17	22	260350856
110110010011110100100101001110000	111111000011100011000100111000100	17	17	23	271882736
111101011000011010011001100010100	111000101110100111011001100001000	19	19	23	280551520
110100111110010010100011010011000	111100110010011000101110010100100	19	19	23	286157216
111110110100011101001000010010100	111111000010100111110000001110000	15	15	22	170143000
111110010011000110101000111000100	111011100100101001001110111000000	19	20	24	285793536
111001110101000011001101110100000	111111010010010011001100001110000	21	21	25	286103888
111011110010011001001100001101000	110110100100111001100011110010000	18	18	23	263106144
101111010011001000101101011100000	111100101001110101100001001101000	21	21	24	285955008
111110001000101100110100101110000	110111010001111010000011100011000	19	19	23	278587368
111100101001100100110110100101000	111010010110010011010110010010100	16	16	24	226048112
111101001010100110011100011100000	111010111010001010100110001100100	19	20	22	287272600
111110011100100010011001100011000	101111110001101000110010010100100	20	20	24	286286960
111011000100101111000101010011000	111000111010110000111100010100100	19	20	24	278778976
111001101000110110001011110010000	111101000101001011111000011000100	16	16	24	196193496
111001101000111010011001110000100	111110110000110110010000110110000	19	19	23	284230240
111001111010001001101011000110000	110101001110110000111000110011000	18	18	24	271378896
111101001001010011110100001101000	111001110001100101001100111010000	15	15	22	187885656
110110010100111001111001100001000	111000111010100110011000111100000	17	17	22	251679544
111101100101001010110100010110000	111001111001110100100001110000100	21	21	24	286908936
101101100100110110100011110000100	111100001011010011011100001101000	18	18	23	271840432
110100111100100110111000011000100	110101001110010100111001001011000	19	19	24	286779352
111101010001101010001110001100100	111110001100010011100011101001000	18	18	24	270841536
111011000011110010010101100010100	110101101010011000111100001101000	17	17	19	249295672
110010111101010010100110001101000	111110100000111001010011110010000	19	19	23	284092368
111110011000110001010011010100100	111011000110011000110110001011000	17	17	24	258354904
101101101010100111000111000100100	111101100010101001110001011100000	20	20	23	290666776
111110010011000111000100110100100	111010011110010100100111010001000	20	20	23	286938752
111101001001110010101000110010100	111110010010001111110001000101000	16	16	21	228338928
110111010001100100111101001010000	101101110100010011110001001011000	19	19	22	286846336
101111000101110001001101011100000	111100111010110001001010100110000	19	19	23	279336368
111100011000111101001001001010100	111101110001010000111110100010000	16	16	21	240351384
111011000101010011111100010010000	111110010111001001000111001000100	18	19	20	293267896
111001001011111000011011001001000	111111101001000101001001001100100	19	19	23	278764072
111101000110100010110011010011000	111101011001001101100010001100100	21	23	24	285925232
110111000110011001010101001110000	111100101000111010010011010010100	17	17	19	292371440
110111100100011000111100100100100	111001101011000101001111000101000	20	20	22	287257112
110100111011110010000110011000100	111110010001111001000011100011000	19	19	24	282988072
101110100111100101001101000110000	111100011101011000011001100010100	20	20	22	288077880
111100011110100000111000110100100	110101001011111010001101100001000	19	19	22	281376032
111010011001010110010011100100100	110101001111000110110010011001000	19	19	21	290738304
111001100101001101110110001000100	110111000100111011100010100101000	20	20	21	286283016
111111010001010011001001011001000	111001100100111001011010001110000	18	18	24	281479608
111100110001001101001111001100000	110110001100111001011100001100100	18	18	24	260225512
101101100011011100001110100100100	110110010101001101111000101001000	19	19	23	285095008
110110100011001011001011110000100	111000111100101110100010010101000	20	21	24	287159632
110110110010011010011001001110000	110100111001010011110011001100000	19	19	22	290317392
111010100110001101001101001101000	111101001010111000011000110010100	18	18	24	274163376
101111000011011001001101100100100	111001001111110001001100001011000	19	19	21	280791496
110101101010110001100011011010000	111100100100111110110001100000100	20	20	23	288339656
111101100101001100111000001011000	111010101001110110100100011000100	16	16	22	199005560
110101001101110010010110001101000	111000110100101110110001111000000	18	19	23	275614656
101101111100100010011011000011000	110111000011110001001010101100100	19	19	24	285513672
111100111100010110001100010110000	110111001001110011100011000011000	19	19	23	285294744
111011101001001011100010011000100	111100011111101010000001001101000	19	20	23	287234832
111010001101010011001101100101000	111001111000101010011001010010100	19	19	23	280556664
111011001100011100001101110100000	111100001111000101010011001110000	17	17	21	224277448
110101110101001100010100111001000	111100001110100011011001001100100	20	20	22	289136632
111111001110010100010011100000100	110110101010011000111000111001000	18	18	24	265170680
110100111011000011001110100101000	111100100011100100111100011010000	18	18	24	262268296
110100111010001110100110001101000	110101001101110001101000111000100	18	19	23	276270352
110101110100100110010011100110000	110111010010101001001101101000100	17	17	20	277140744
111011100101001011001001001010100	111111000110011010010011001001000	19	19	24	285230848
111001101001011001010011100110000	110110100011100110110010001011000	16	16	21	252667224
111110001001111000100011100110000	111111011000100011100100010010100	18	18	23	281920872
111111000101010010100101010110000	111010101100101001010110001011000	15	15	22	205436568
111001100011001110100101100101000	111101001111000101001000111010000	19	19	24	281962920
111001100100110011101001110001000	111010011010110001100100101010100	18	18	21	272580864
111101000111100001001011110001000	111100110110000111110001000100100	19	19	22	281963728
101110001110001101010110101001000	111000110011011101000011001100100	19	20	25	276968896
111101011000010011001110010010100	110101010110001101111010011000000	16	16	22	215567008
110011011001010111100010110000100	111110101000011100110000101110000	20	20	23	287522616
111110001110001010001110011000100	111010111000011110010100100011000	18	18	21	273658760
111011010101000110001100110011000	111101001001010011110110000110000	18	18	23	265244176
110111001100110101001100100101000	111001110001001101100110010010100	21	21	24	287501496
111100001101011000110101010100100	110110010101110001011101000011000	15	15	21	185069992
110100111100110001010101001010100	111001001111000100101101011100000	19	19	24	288988328
111100110100110001100101001010100	110100110100111100011001011010000	20	20	24	286839696
110110010111101001001100001110000	110110101100001011100011010010100	20	20	23	288032112
111111100011000001100011011010000	111011010001011001010100101101000	16	16	21	201386704
111111010011100000010010110010100	111100100110101001110001001110000	16	16	23	204297440
111011100100011101001010001100100	111101010011100100110001100011000	17	17	23	254375784
101111000110011110100001001100100	111000111001110100100100110101000	18	18	23	279300440
111010001100110100101110100010100	110011110110001010111010000101000	18	20	23	265000224
111110001001101001010011001110000	101111100010001111001010010011000	20	20	24	287415608
111110110011001001001001001010100	110011100111000011110010011001000	20	20	24	285611216
111101001010001111011010010100000	111010100111010001001110001101000	18	18	23	269353272
111101111001100001001100110000100	101011011101010000111010001110000	16	16	20	188518464
111001100101011001010100111001000	111010010011110011100010100010100	17	17	19	295122288
110110001011010110100011011001000	111111000101010110001011000100100	21	22	24	286421896
111101001001100011111000101100000	110011100111000110001101100101000	19	19	23	282027848
111110100011011100001010110100000	110011011000111011010001001110000	22	23	24	286637112
101110010110110010010111000100100	110110111000101001110001001101000	18	18	22	282125296
111010011100110001101101001100000	111011010001110101010001100010100	20	20	22	286202360
111110010001111101000000111001000	110111000110001110110100100010100	18	18	24	280535840
111001101000111001100100110101000	111010001101110010010011100100100	21	21	24	286617664
101111110001100010011100100100100	110011101100010011100011101001000	19	19	24	287233880
101110001111100111100000100110000	111001010011111000010110010011000	19	21	22	288057200
110110001110101100001100110011000	111110011100001010100101001100100	16	16	22	211298256
111111000100001111010011100001000	111110101001010100011000101100100	18	19	25	278159504
110100111101001001111000110001000	110011101001111100100100010010100	17	17	23	264597472
111111001111001001010001000110000	111010010011111000100010110010100	19	21	23	278119448
111111001001100001100101110001000	110100111100001110011010001110000	18	18	24	262088272
111101001000111100001100111001000	111100100101001101111000100100100	18	18	25	270943152
110101001111110000001100101011000	111100011100010011101001010100100	17	17	21	279186712
111100001011111100010010010110000	101101101101001000110101100011000	22	22	24	286952296
111110010100111001010011100001000	111101100010101001011100010100100	18	18	23	288527824
